Sample Filename,Sample ID,HPLID,Type,Pass/Fail,DQC,QC call_rate,call_rate,QC het_rate,het_rate,affymetrix-plate-barcode,affymetrix-plate-peg-wellposition,Average call rate for passing samples,Percent of passing samples
HPL-00277_Tissue_225234_I22.CEL,HPL-00277_Tissue,,Tissue,Pass,1,98.296,98.702,26.803,26.798,5513774462030061924883,I22,98.354,44.271
HPL-00278_Tissue_225234_K22.CEL,HPL-00278_Tissue,,Tissue,Pass,0.99764,99.476,99.311,25.39,24.733,5513774462030061924883,K22,98.354,44.271
HPL-00279_Tissue_225234_M22.CEL,HPL-00279_Tissue,,Tissue,Fail,0.99764,96.766,,27.429,,5513774462030061924883,M22,98.354,44.271
HPL-00280_Tissue_225234_O22.CEL,HPL-00280_Tissue,,Tissue,Fail,1,92.658,,31.493,,5513774462030061924883,O22,98.354,44.271
HPL-00281_Tissue_225234_A24.CEL,HPL-00281_Tissue,,Tissue,Pass,0.99528,98.004,98.364,24.734,25.039,5513774462030061924883,A24,98.354,44.271
HPL-00282_Tissue_225234_C24.CEL,HPL-00282_Tissue,,Tissue,Pass,1,97.611,97.913,26.103,26.211,5513774462030061924883,C24,98.354,44.271
HPL-00283_Tissue_225234_E24.CEL,HPL-00283_Tissue,,Tissue,Pass,1,98.543,98.91,26.526,26.557,5513774462030061924883,E24,98.354,44.271
HPL-00284_Tissue_225234_G24.CEL,HPL-00284_Tissue,,Tissue,Pass,1,97.48,98.101,26.715,26.792,5513774462030061924883,G24,98.354,44.271
HPL-00285_Tissue_225234_I24.CEL,HPL-00285_Tissue,,Tissue,Pass,1,99.126,99.02,25.404,25.496,5513774462030061924883,I24,98.354,44.271
HPL-00286_Tissue_225234_K24.CEL,HPL-00286_Tissue,,Tissue,Pass,1,98.514,98.484,26.162,26.406,5513774462030061924883,K24,98.354,44.271
HPL-00287_Tissue_225234_M24.CEL,HPL-00287_Tissue,,Tissue,Pass,0.99764,99.213,99.223,24.632,24.465,5513774462030061924883,M24,98.354,44.271
,HPL-00288_Tissue,,Tissue,Scan Failure,,,,,,,,,
HPL-00289_Tissue_225234_B2.CEL,HPL-00289_Tissue,,Tissue,Fail,1,90.43,,29.92,,5513774462030061924883,B02,98.354,44.271
HPL-00290_Tissue_225234_D2.CEL,HPL-00290_Tissue,,Tissue,Pass,0.99528,98.587,98.915,27.691,26.965,5513774462030061924883,D02,98.354,44.271
HPL-00291_Tissue_225234_F2.CEL,HPL-00291_Tissue,,Tissue,Pass,0.99057,98.165,98.63,25.535,25.394,5513774462030061924883,F02,98.354,44.271
HPL-00292_Tissue_225234_H2.CEL,HPL-00292_Tissue,,Tissue,Fail,1,89.614,,32.236,,5513774462030061924883,H02,98.354,44.271
HPL-00293_Tissue_225234_J2.CEL,HPL-00293_Tissue,,Tissue,Fail,1,90.969,,29.104,,5513774462030061924883,J02,98.354,44.271
HPL-00294_Tissue_225234_L2.CEL,HPL-00294_Tissue,,Tissue,Fail,1,88.157,,33.066,,5513774462030061924883,L02,98.354,44.271
HPL-00295_Tissue_225234_N2.CEL,HPL-00295_Tissue,,Tissue,Pass,0.98821,98.194,98.548,27.181,26.626,5513774462030061924883,N02,98.354,44.271
HPL-00296_Tissue_225234_P2.CEL,HPL-00296_Tissue,,Tissue,Fail,1,90.867,,29.745,,5513774462030061924883,P02,98.354,44.271
HPL-00297_Tissue_225234_B4.CEL,HPL-00297_Tissue,,Tissue,Fail,0.99764,90.459,,34.319,,5513774462030061924883,B04,98.354,44.271
HPL-00298_Tissue_225234_D4.CEL,HPL-00298_Tissue,,Tissue,Fail,1,90.43,,31.26,,5513774462030061924883,D04,98.354,44.271
HPL-00299_Tissue_225234_F4.CEL,HPL-00299_Tissue,,Tissue,Fail,0.99764,91.158,,32.993,,5513774462030061924883,F04,98.354,44.271
HPL-00300_Tissue_225234_H4.CEL,HPL-00300_Tissue,,Tissue,Fail,1,96.009,,28.623,,5513774462030061924883,H04,98.354,44.271
HPL-00301_Tissue_225234_J4.CEL,HPL-00301_Tissue,,Tissue,Fail,0.98821,93.576,,28.74,,5513774462030061924883,J04,98.354,44.271
HPL-00302_Tissue_225234_L4.CEL,HPL-00302_Tissue,,Tissue,Fail,1,91.595,,31.464,,5513774462030061924883,L04,98.354,44.271
HPL-00303_Tissue_225234_N4.CEL,HPL-00303_Tissue,,Tissue,Pass,0.94811,97.873,98.466,28.055,27.548,5513774462030061924883,N04,98.354,44.271
HPL-00304_Tissue_225234_P4.CEL,HPL-00304_Tissue,,Tissue,Fail,1,91.406,,28.944,,5513774462030061924883,P04,98.354,44.271
HPL-00305_Tissue_225234_B6.CEL,HPL-00305_Tissue,,Tissue,Fail,1,89.599,,34.115,,5513774462030061924883,B06,98.354,44.271
HPL-00306_Tissue_225234_D6.CEL,HPL-00306_Tissue,,Tissue,Fail,1,90.473,,31.886,,5513774462030061924883,D06,98.354,44.271
HPL-00307_Tissue_225234_F6.CEL,HPL-00307_Tissue,,Tissue,Fail,0.99764,96.839,,30.022,,5513774462030061924883,F06,98.354,44.271
