Sample Filename,Sample ID,HPLID,Type,Pass/Fail,DQC,QC call_rate,call_rate,QC het_rate,het_rate,affymetrix-plate-barcode,affymetrix-plate-peg-wellposition,Average call rate for passing samples,Percent of passing samples
HPL-00001_Tissue_225234_B1.CEL,HPL-00001_Tissue,,Tissue,Fail,0.88443,94.712,,20.932,,5513774462030061924883,B01,98.354,44.271
HPL-00002_Tissue_225234_D1.CEL,HPL-00002_Tissue,,Tissue,Pass,0.95283,97.975,97.994,19.053,19.438,5513774462030061924883,D01,98.354,44.271
HPL-00003_Tissue_225234_F1.CEL,HPL-00003_Tissue,,Tissue,Fail,0.99528,90.925,,24.239,,5513774462030061924883,F01,98.354,44.271
HPL-00004_Tissue_225234_H1.CEL,HPL-00004_Tissue,,Tissue,Fail,0.99528,94.989,,21.355,,5513774462030061924883,H01,98.354,44.271
HPL-00005_Tissue_225234_J1.CEL,HPL-00005_Tissue,,Tissue,Fail,0.9434,94.334,,20.83,,5513774462030061924883,J01,98.354,44.271
HPL-00006_Tissue_225234_L1.CEL,HPL-00006_Tissue,,Tissue,Fail,0.98821,92.848,,22.36,,5513774462030061924883,L01,98.354,44.271
HPL-00007_Tissue_225234_N1.CEL,HPL-00007_Tissue,,Tissue,Pass,0.96934,97.742,98.138,19.126,19.225,5513774462030061924883,N01,98.354,44.271
HPL-00008_Tissue_225234_P1.CEL,HPL-00008_Tissue,,Tissue,Pass,0.86085,98.034,98.306,18.325,19.06,5513774462030061924883,P01,98.354,44.271
HPL-00009_Tissue_225234_B3.CEL,HPL-00009_Tissue,,Tissue,Fail,0.83726,96.606,,19.723,,5513774462030061924883,B03,98.354,44.271
HPL-00010_Tissue_225234_D3.CEL,HPL-00010_Tissue,,Tissue,Pass,0.94811,97.043,97.54,19.592,20.219,5513774462030061924883,D03,98.354,44.271
HPL-00011_Tissue_225234_F3.CEL,HPL-00011_Tissue,,Tissue,Fail,1,90.546,,24.588,,5513774462030061924883,F03,98.354,44.271
HPL-00012_Tissue_225234_H3.CEL,HPL-00012_Tissue,,Tissue,Fail,0.99292,89.716,,26.511,,5513774462030061924883,H03,98.354,44.271
HPL-00013_Tissue_225234_J3.CEL,HPL-00013_Tissue,,Tissue,Fail,0.99057,90.852,,23.787,,5513774462030061924883,J03,98.354,44.271
HPL-00014_Tissue_225234_L3.CEL,HPL-00014_Tissue,,Tissue,Fail,0.99292,91.726,,27.924,,5513774462030061924883,L03,98.354,44.271
HPL-00015_Tissue_225234_N3.CEL,HPL-00015_Tissue,,Tissue,Fail,0.99528,92.702,,23.117,,5513774462030061924883,N03,98.354,44.271
HPL-00016_Tissue_225234_P3.CEL,HPL-00016_Tissue,,Tissue,Fail,1,90.401,,26.366,,5513774462030061924883,P03,98.354,44.271
HPL-00017_Tissue_225234_B5.CEL,HPL-00017_Tissue,,Tissue,Fail,0.95283,93.751,,22.433,,5513774462030061924883,B05,98.354,44.271
HPL-00018_Tissue_225234_D5.CEL,HPL-00018_Tissue,,Tissue,Fail,0.9717,89.978,,27.822,,5513774462030061924883,D05,98.354,44.271
HPL-00019_Tissue_225234_F5.CEL,HPL-00019_Tissue,,Tissue,Fail,1,90.532,,25.2,,5513774462030061924883,F05,98.354,44.271
HPL-00020_Tissue_225234_H5.CEL,HPL-00020_Tissue,,Tissue,Fail,0.85613,94.887,,21.107,,5513774462030061924883,H05,98.354,44.271
HPL-00021_Tissue_225234_J5.CEL,HPL-00021_Tissue,,Tissue,Pass,0.89151,97.13,97.636,20.262,20.124,5513774462030061924883,J05,98.354,44.271
HPL-00022_Tissue_225234_L5.CEL,HPL-00022_Tissue,,Tissue,Fail,1,91.959,,27.123,,5513774462030061924883,L05,98.354,44.271
HPL-00023_Tissue_225234_N5.CEL,HPL-00023_Tissue,,Tissue,Fail,0.99764,91.318,,24.822,,5513774462030061924883,N05,98.354,44.271
HPL-00024_Tissue_225234_P5.CEL,HPL-00024_Tissue,,Tissue,Fail,1,90.721,,27.866,,5513774462030061924883,P05,98.354,44.271
HPL-00025_Tissue_225234_B7.CEL,HPL-00025_Tissue,,Tissue,Pass,0.87736,97.698,97.956,19.548,19.421,5513774462030061924883,B07,98.354,44.271
HPL-00026_Tissue_225234_D7.CEL,HPL-00026_Tissue,,Tissue,Fail,0.99292,90.036,,27.604,,5513774462030061924883,D07,98.354,44.271
HPL-00027_Tissue_225234_F7.CEL,HPL-00027_Tissue,,Tissue,Fail,0.95283,96.184,,20,,5513774462030061924883,F07,98.354,44.271
HPL-00028_Tissue_225234_H7.CEL,HPL-00028_Tissue,,Tissue,Fail,0.92925,96.198,,19.432,,5513774462030061924883,H07,98.354,44.271
HPL-00029_Tissue_225234_J7.CEL,HPL-00029_Tissue,,Tissue,Fail,0.92217,95.441,,20.976,,5513774462030061924883,J07,98.354,44.271
HPL-00030_Tissue_225234_L7.CEL,HPL-00030_Tissue,,Tissue,Fail,0.96462,94.523,,20.524,,5513774462030061924883,L07,98.354,44.271
HPL-00031_Tissue_225234_N7.CEL,HPL-00031_Tissue,,Tissue,Fail,0.97877,90.59,,27.604,,5513774462030061924883,N07,98.354,44.271
HPL-00032_Tissue_225234_P7.CEL,HPL-00032_Tissue,,Tissue,Fail,0.99764,91.143,,27.123,,5513774462030061924883,P07,98.354,44.271
HPL-00033_Tissue_225234_B9.CEL,HPL-00033_Tissue,,Tissue,Fail,0.98113,92.353,,24.166,,5513774462030061924883,B09,98.354,44.271
HPL-00034_Tissue_225234_D9.CEL,HPL-00034_Tissue,,Tissue,Fail,0.99528,91.449,,26.948,,5513774462030061924883,D09,98.354,44.271
HPL-00035_Tissue_225234_F9.CEL,HPL-00035_Tissue,,Tissue,Fail,0.95755,96.242,,19.913,,5513774462030061924883,F09,98.354,44.271
HPL-00036_Tissue_225234_H9.CEL,HPL-00036_Tissue,,Tissue,Fail,0.97642,90.677,,25.157,,5513774462030061924883,H09,98.354,44.271
HPL-00037_Tissue_225234_J9.CEL,HPL-00037_Tissue,,Tissue,Fail,0.98585,95.295,,21.398,,5513774462030061924883,J09,98.354,44.271
HPL-00038_Tissue_225234_L9.CEL,HPL-00038_Tissue,,Tissue,Fail,0.91038,96.999,,19.738,,5513774462030061924883,L09,98.354,44.271
HPL-00039_Tissue_225234_N9.CEL,HPL-00039_Tissue,,Tissue,Fail,1,90.109,,25.987,,5513774462030061924883,N09,98.354,44.271
HPL-00040_Tissue_225234_P9.CEL,HPL-00040_Tissue,,Tissue,Fail,0.99528,90.138,,27.458,,5513774462030061924883,P09,98.354,44.271
HPL-00041_Tissue_225234_B11.CEL,HPL-00041_Tissue,,Tissue,Pass,0.91981,97.946,98.092,18.485,18.925,5513774462030061924883,B11,98.354,44.271
HPL-00042_Tissue_225234_D11.CEL,HPL-00042_Tissue,,Tissue,Fail,0.98821,90.255,,26.438,,5513774462030061924883,D11,98.354,44.271
HPL-00043_Tissue_225234_F11.CEL,HPL-00043_Tissue,,Tissue,Fail,0.99764,91.231,,28.172,,5513774462030061924883,F11,98.354,44.271
HPL-00044_Tissue_225234_H11.CEL,HPL-00044_Tissue,,Tissue,Fail,0.95755,93.707,,22.054,,5513774462030061924883,H11,98.354,44.271
HPL-00045_Tissue_225234_J11.CEL,HPL-00045_Tissue,,Tissue,Fail,0.97877,96.213,,19.505,,5513774462030061924883,J11,98.354,44.271
HPL-00046_Tissue_225234_L11.CEL,HPL-00046_Tissue,,Tissue,Fail,0.99764,94.013,,21.631,,5513774462030061924883,L11,98.354,44.271
HPL-00047_Tissue_225234_N11.CEL,HPL-00047_Tissue,,Tissue,Fail,0.98585,93.999,,19.898,,5513774462030061924883,N11,98.354,44.271
HPL-00048_Tissue_225234_P11.CEL,HPL-00048_Tissue,,Tissue,Fail,0.99764,91.624,,27.56,,5513774462030061924883,P11,98.354,44.271
HPL-00049_Tissue_225234_B13.CEL,HPL-00049_Tissue,,Tissue,Pass,0.88915,97.757,98.138,18.893,19.02,5513774462030061924883,B13,98.354,44.271
HPL-00050_Tissue_225234_D13.CEL,HPL-00050_Tissue,,Tissue,Fail,0.99764,91.537,,27.036,,5513774462030061924883,D13,98.354,44.271
HPL-00051_Tissue_225234_F13.CEL,HPL-00051_Tissue,,Tissue,Fail,0.99764,89.527,,27.079,,5513774462030061924883,F13,98.354,44.271
HPL-00052_Tissue_225234_H13.CEL,HPL-00052_Tissue,,Tissue,Fail,0.98113,96.213,,21.136,,5513774462030061924883,H13,98.354,44.271
HPL-00053_Tissue_225234_J13.CEL,HPL-00053_Tissue,,Tissue,Fail,0.94575,96.999,,20.699,,5513774462030061924883,J13,98.354,44.271
HPL-00054_Tissue_225234_L13.CEL,HPL-00054_Tissue,,Tissue,Fail,0.98113,91.755,,24.851,,5513774462030061924883,L13,98.354,44.271
HPL-00055_Tissue_225234_N13.CEL,HPL-00055_Tissue,,Tissue,Pass,0.94104,97.203,97.666,18.98,19.299,5513774462030061924883,N13,98.354,44.271
HPL-00056_Tissue_225234_P13.CEL,HPL-00056_Tissue,,Tissue,Fail,0.99528,90.342,,27.997,,5513774462030061924883,P13,98.354,44.271
HPL-00057_Tissue_225234_B15.CEL,HPL-00057_Tissue,,Tissue,Fail,1,89.978,,24.326,,5513774462030061924883,B15,98.354,44.271
HPL-00058_Tissue_225234_D15.CEL,HPL-00058_Tissue,,Tissue,Fail,1,90.867,,27.881,,5513774462030061924883,D15,98.354,44.271
HPL-00059_Tissue_225234_F15.CEL,HPL-00059_Tissue,,Tissue,Fail,0.99764,91.784,,26.031,,5513774462030061924883,F15,98.354,44.271
HPL-00060_Tissue_225234_H15.CEL,HPL-00060_Tissue,,Tissue,Fail,1,91.58,,28.755,,5513774462030061924883,H15,98.354,44.271
HPL-00061_Tissue_225234_J15.CEL,HPL-00061_Tissue,,Tissue,Fail,0.99292,96.591,,19.65,,5513774462030061924883,J15,98.354,44.271
HPL-00062_Tissue_225234_L15.CEL,HPL-00062_Tissue,,Tissue,Fail,0.99764,91.988,,27.881,,5513774462030061924883,L15,98.354,44.271
HPL-00063_Tissue_225234_N15.CEL,HPL-00063_Tissue,,Tissue,Fail,0.99528,91.668,,28.725,,5513774462030061924883,N15,98.354,44.271
HPL-00064_Tissue_225234_P15.CEL,HPL-00064_Tissue,,Tissue,Fail,0.99764,91.916,,27.327,,5513774462030061924883,P15,98.354,44.271
HPL-00065_Tissue_225234_B17.CEL,HPL-00065_Tissue,,Tissue,Fail,0.99764,92.119,,27.385,,5513774462030061924883,B17,98.354,44.271
HPL-00066_Tissue_225234_D17.CEL,HPL-00066_Tissue,,Tissue,Fail,1,91.114,,26.715,,5513774462030061924883,D17,98.354,44.271
HPL-00067_Tissue_225234_F17.CEL,HPL-00067_Tissue,,Tissue,Fail,1,92.542,,26.657,,5513774462030061924883,F17,98.354,44.271
HPL-00068_Tissue_225234_H17.CEL,HPL-00068_Tissue,,Tissue,Fail,0.99292,89.832,,29.264,,5513774462030061924883,H17,98.354,44.271
HPL-00069_Tissue_225234_J17.CEL,HPL-00069_Tissue,,Tissue,Fail,1,92.323,,28.216,,5513774462030061924883,J17,98.354,44.271
HPL-00070_Tissue_225234_L17.CEL,HPL-00070_Tissue,,Tissue,Fail,1,92.192,,27.633,,5513774462030061924883,L17,98.354,44.271
HPL-00071_Tissue_225234_N17.CEL,HPL-00071_Tissue,,Tissue,Fail,0.99764,91.901,,28.551,,5513774462030061924883,N17,98.354,44.271
HPL-00072_Tissue_225234_P17.CEL,HPL-00072_Tissue,,Tissue,Fail,0.99057,90.226,,29.06,,5513774462030061924883,P17,98.354,44.271
HPL-00073_Tissue_225234_B19.CEL,HPL-00073_Tissue,,Tissue,Fail,0.99764,90.269,,24.705,,5513774462030061924883,B19,98.354,44.271
HPL-00074_Tissue_225234_D19.CEL,HPL-00074_Tissue,,Tissue,Fail,1,92.484,,27.312,,5513774462030061924883,D19,98.354,44.271
HPL-00075_Tissue_225234_F19.CEL,HPL-00075_Tissue,,Tissue,Fail,0.99292,92.323,,28.973,,5513774462030061924883,F19,98.354,44.271
HPL-00076_Tissue_225234_H19.CEL,HPL-00076_Tissue,,Tissue,Fail,1,91.333,,27.502,,5513774462030061924883,H19,98.354,44.271
HPL-00077_Tissue_225234_J19.CEL,HPL-00077_Tissue,,Tissue,Fail,1,92.382,,27.968,,5513774462030061924883,J19,98.354,44.271
HPL-00078_Tissue_225234_L19.CEL,HPL-00078_Tissue,,Tissue,Fail,1,92.586,,27.269,,5513774462030061924883,L19,98.354,44.271
HPL-00079_Tissue_225234_N19.CEL,HPL-00079_Tissue,,Tissue,Fail,1,92.906,,27.618,,5513774462030061924883,N19,98.354,44.271
HPL-00080_Tissue_225234_P19.CEL,HPL-00080_Tissue,,Tissue,Fail,0.99764,90.91,,26.846,,5513774462030061924883,P19,98.354,44.271
HPL-00081_Tissue_225234_B21.CEL,HPL-00081_Tissue,,Tissue,Pass,0.86792,97.917,98.196,18.471,18.733,5513774462030061924883,B21,98.354,44.271
HPL-00082_Tissue_225234_D21.CEL,HPL-00082_Tissue,,Tissue,Fail,1,90.153,,26.118,,5513774462030061924883,D21,98.354,44.271
HPL-00083_Tissue_225234_F21.CEL,HPL-00083_Tissue,,Tissue,Fail,1,90.342,,25.2,,5513774462030061924883,F21,98.354,44.271
HPL-00084_Tissue_225234_H21.CEL,HPL-00084_Tissue,,Tissue,Fail,0.99292,92.513,,22.185,,5513774462030061924883,H21,98.354,44.271
HPL-00085_Tissue_225234_J21.CEL,HPL-00085_Tissue,,Tissue,Fail,1,92.746,,27.385,,5513774462030061924883,J21,98.354,44.271
HPL-00086_Tissue_225234_L21.CEL,HPL-00086_Tissue,,Tissue,Fail,0.99764,89.527,,25.812,,5513774462030061924883,L21,98.354,44.271
HPL-00087_Tissue_225234_N21.CEL,HPL-00087_Tissue,,Tissue,Fail,1,90.779,,25.812,,5513774462030061924883,N21,98.354,44.271
HPL-00088_Tissue_225234_P21.CEL,HPL-00088_Tissue,,Tissue,Pass,0.88915,97.378,98.015,18.514,18.993,5513774462030061924883,P21,98.354,44.271
HPL-00089_Tissue_225234_B23.CEL,HPL-00089_Tissue,,Tissue,Pass,0.82783,97.873,98.232,18.194,18.694,5513774462030061924883,B23,98.354,44.271
HPL-00090_Tissue_225234_D23.CEL,HPL-00090_Tissue,,Tissue,Fail,0.99292,89.934,,26.089,,5513774462030061924883,D23,98.354,44.271
HPL-00091_Tissue_225234_F23.CEL,HPL-00091_Tissue,,Tissue,Fail,0.99764,90.371,,25.754,,5513774462030061924883,F23,98.354,44.271
HPL-00092_Tissue_225234_H23.CEL,HPL-00092_Tissue,,Tissue,Fail,0.99764,90.328,,27.939,,5513774462030061924883,H23,98.354,44.271
HPL-00093_Tissue_225234_J23.CEL,HPL-00093_Tissue,,Tissue,Fail,0.99764,91.158,,24.326,,5513774462030061924883,J23,98.354,44.271
HPL-00094_Tissue_225234_L23.CEL,HPL-00094_Tissue,,Tissue,Fail,1,90.459,,26.351,,5513774462030061924883,L23,98.354,44.271
HPL-00095_Tissue_225234_N23.CEL,HPL-00095_Tissue,,Tissue,Pass,0.93396,97.8,98.189,18.907,18.852,5513774462030061924883,N23,98.354,44.271
HPL-00096_Tissue_225234_P23.CEL,HPL-00096_Tissue,,Tissue,Pass,0.97642,98.121,98.381,19.009,19.359,5513774462030061924883,P23,98.354,44.271
HPL-00097_Tissue_225234_A1.CEL,HPL-00097_Tissue,,Tissue,Fail,0.875,94.727,,18.31,,5513774462030061924883,A01,98.354,44.271
HPL-00098_Tissue_225234_C1.CEL,HPL-00098_Tissue,,Tissue,Fail,0.99764,92.469,,24.122,,5513774462030061924883,C01,98.354,44.271
HPL-00099_Tissue_225234_E1.CEL,HPL-00099_Tissue,,Tissue,Fail,0.99764,91.755,,23.875,,5513774462030061924883,E01,98.354,44.271
HPL-00100_Tissue_225234_G1.CEL,HPL-00100_Tissue,,Tissue,Fail,0.90094,96.577,,18.937,,5513774462030061924883,G01,98.354,44.271
HPL-00101_Tissue_225234_I1.CEL,HPL-00101_Tissue,,Tissue,Pass,0.99292,97.538,98.027,19.111,19.998,5513774462030061924883,I01,98.354,44.271
HPL-00102_Tissue_225234_K1.CEL,HPL-00102_Tissue,,Tissue,Pass,0.98349,97.698,98.337,19.65,19.817,5513774462030061924883,K01,98.354,44.271
HPL-00103_Tissue_225234_M1.CEL,HPL-00103_Tissue,,Tissue,Pass,0.95283,97.436,97.919,19.548,19.65,5513774462030061924883,M01,98.354,44.271
HPL-00104_Tissue_225234_O1.CEL,HPL-00104_Tissue,,Tissue,Fail,0.9434,94.625,,20.641,,5513774462030061924883,O01,98.354,44.271
HPL-00105_Tissue_225234_A3.CEL,HPL-00105_Tissue,,Tissue,Fail,0.99292,94.625,,22.666,,5513774462030061924883,A03,98.354,44.271
HPL-00106_Tissue_225234_C3.CEL,HPL-00106_Tissue,,Tissue,Pass,0.99292,97.626,98.111,18.776,19.618,5513774462030061924883,C03,98.354,44.271
HPL-00107_Tissue_225234_E3.CEL,HPL-00107_Tissue,,Tissue,Fail,0.99528,90.473,,25.302,,5513774462030061924883,E03,98.354,44.271
HPL-00108_Tissue_225234_G3.CEL,HPL-00108_Tissue,,Tissue,Fail,0.99057,94.567,,20.714,,5513774462030061924883,G03,98.354,44.271
HPL-00109_Tissue_225234_I3.CEL,HPL-00109_Tissue,,Tissue,Pass,0.99528,98.092,98.32,18.791,19.369,5513774462030061924883,I03,98.354,44.271
HPL-00110_Tissue_225234_K3.CEL,HPL-00110_Tissue,,Tissue,Fail,0.99528,90.371,,26.759,,5513774462030061924883,K03,98.354,44.271
HPL-00111_Tissue_225234_M3.CEL,HPL-00111_Tissue,,Tissue,Pass,0.99764,97.174,97.746,20.583,20.292,5513774462030061924883,M03,98.354,44.271
HPL-00112_Tissue_225234_O3.CEL,HPL-00112_Tissue,,Tissue,Fail,0.99764,90.255,,29.366,,5513774462030061924883,O03,98.354,44.271
HPL-00113_Tissue_225234_A5.CEL,HPL-00113_Tissue,,Tissue,Fail,1,94.741,,21.18,,5513774462030061924883,A05,98.354,44.271
HPL-00114_Tissue_225234_C5.CEL,HPL-00114_Tissue,,Tissue,Fail,0.98349,95.513,,21.224,,5513774462030061924883,C05,98.354,44.271
HPL-00115_Tissue_225234_E5.CEL,HPL-00115_Tissue,,Tissue,Fail,0.98821,94.814,,20.699,,5513774462030061924883,E05,98.354,44.271
HPL-00116_Tissue_225234_G5.CEL,HPL-00116_Tissue,,Tissue,Fail,0.99528,93.926,,20.728,,5513774462030061924883,G05,98.354,44.271
HPL-00117_Tissue_225234_I5.CEL,HPL-00117_Tissue,,Tissue,Fail,1,91.726,,27.808,,5513774462030061924883,I05,98.354,44.271
HPL-00118_Tissue_225234_K5.CEL,HPL-00118_Tissue,,Tissue,Fail,0.99764,89.876,,26.176,,5513774462030061924883,K05,98.354,44.271
HPL-00119_Tissue_225234_M5.CEL,HPL-00119_Tissue,,Tissue,Fail,0.99764,90.371,,27.546,,5513774462030061924883,M05,98.354,44.271
HPL-00120_Tissue_225234_O5.CEL,HPL-00120_Tissue,,Tissue,Fail,0.99292,93.489,,21.588,,5513774462030061924883,O05,98.354,44.271
HPL-00121_Tissue_225234_A7.CEL,HPL-00121_Tissue,,Tissue,Fail,0.99528,93.824,,21.5,,5513774462030061924883,A07,98.354,44.271
HPL-00122_Tissue_225234_C7.CEL,HPL-00122_Tissue,,Tissue,Fail,0.99764,96.052,,21.355,,5513774462030061924883,C07,98.354,44.271
HPL-00123_Tissue_225234_E7.CEL,HPL-00123_Tissue,,Tissue,Fail,0.99528,96.868,,20.364,,5513774462030061924883,E07,98.354,44.271
HPL-00124_Tissue_225234_G7.CEL,HPL-00124_Tissue,,Tissue,Fail,1,91.333,,27.575,,5513774462030061924883,G07,98.354,44.271
HPL-00125_Tissue_225234_I7.CEL,HPL-00125_Tissue,,Tissue,Fail,0.99528,90.226,,28.23,,5513774462030061924883,I07,98.354,44.271
HPL-00126_Tissue_225234_K7.CEL,HPL-00126_Tissue,,Tissue,Fail,0.99528,91.814,,23.773,,5513774462030061924883,K07,98.354,44.271
HPL-00127_Tissue_225234_M7.CEL,HPL-00127_Tissue,,Tissue,Fail,0.99764,90.43,,27.502,,5513774462030061924883,M07,98.354,44.271
HPL-00128_Tissue_225234_O7.CEL,HPL-00128_Tissue,,Tissue,Pass,0.9033,97.495,98.033,18.776,18.858,5513774462030061924883,O07,98.354,44.271
HPL-00129_Tissue_225234_A9.CEL,HPL-00129_Tissue,,Tissue,Fail,0.99764,94.275,,20.787,,5513774462030061924883,A09,98.354,44.271
HPL-00130_Tissue_225234_C9.CEL,HPL-00130_Tissue,,Tissue,Fail,0.99764,94.581,,21.719,,5513774462030061924883,C09,98.354,44.271
HPL-00131_Tissue_225234_E9.CEL,HPL-00131_Tissue,,Tissue,Fail,0.98349,91.77,,23.467,,5513774462030061924883,E09,98.354,44.271
HPL-00132_Tissue_225234_G9.CEL,HPL-00132_Tissue,,Tissue,Fail,0.99764,89.862,,24.792,,5513774462030061924883,G09,98.354,44.271
HPL-00133_Tissue_225234_I9.CEL,HPL-00133_Tissue,,Tissue,Fail,1,90.284,,28.347,,5513774462030061924883,I09,98.354,44.271
HPL-00134_Tissue_225234_K9.CEL,HPL-00134_Tissue,,Tissue,Fail,0.99292,93.853,,21.34,,5513774462030061924883,K09,98.354,44.271
HPL-00135_Tissue_225234_M9.CEL,HPL-00135_Tissue,,Tissue,Fail,0.99764,90.896,,26.715,,5513774462030061924883,M09,98.354,44.271
HPL-00136_Tissue_225234_O9.CEL,HPL-00136_Tissue,,Tissue,Pass,0.86321,97.087,97.695,18.922,19.231,5513774462030061924883,O09,98.354,44.271
HPL-00137_Tissue_225234_A11.CEL,HPL-00137_Tissue,,Tissue,Fail,0.99764,89.585,,24.822,,5513774462030061924883,A11,98.354,44.271
HPL-00138_Tissue_225234_C11.CEL,HPL-00138_Tissue,,Tissue,Fail,0.97642,96.97,,19.898,,5513774462030061924883,C11,98.354,44.271
HPL-00139_Tissue_225234_E11.CEL,HPL-00139_Tissue,,Tissue,Fail,0.99528,91.275,,27.079,,5513774462030061924883,E11,98.354,44.271
HPL-00140_Tissue_225234_G11.CEL,HPL-00140_Tissue,,Tissue,Fail,1,91.508,,28.055,,5513774462030061924883,G11,98.354,44.271
HPL-00141_Tissue_225234_I11.CEL,HPL-00141_Tissue,,Tissue,Fail,0.99057,90.488,,25.535,,5513774462030061924883,I11,98.354,44.271
HPL-00142_Tissue_225234_K11.CEL,HPL-00142_Tissue,,Tissue,Fail,1,90.313,,24.807,,5513774462030061924883,K11,98.354,44.271
HPL-00143_Tissue_225234_M11.CEL,HPL-00143_Tissue,,Tissue,Fail,1,91.435,,24.05,,5513774462030061924883,M11,98.354,44.271
HPL-00144_Tissue_225234_O11.CEL,HPL-00144_Tissue,,Tissue,Pass,0.92217,97.582,98.177,18.966,19.167,5513774462030061924883,O11,98.354,44.271
HPL-00145_Tissue_225234_A13.CEL,HPL-00145_Tissue,,Tissue,Fail,1,92.076,,27.05,,5513774462030061924883,A13,98.354,44.271
HPL-00146_Tissue_225234_C13.CEL,HPL-00146_Tissue,,Tissue,Fail,0.99764,94.625,,21.894,,5513774462030061924883,C13,98.354,44.271
HPL-00147_Tissue_225234_E13.CEL,HPL-00147_Tissue,,Tissue,Fail,0.99764,90.517,,25.725,,5513774462030061924883,E13,98.354,44.271
HPL-00148_Tissue_225234_G13.CEL,HPL-00148_Tissue,,Tissue,Fail,1,91.857,,27.895,,5513774462030061924883,G13,98.354,44.271
HPL-00149_Tissue_225234_I13.CEL,HPL-00149_Tissue,,Tissue,Fail,0.99292,89.716,,27.007,,5513774462030061924883,I13,98.354,44.271
HPL-00150_Tissue_225234_K13.CEL,HPL-00150_Tissue,,Tissue,Fail,1,91.493,,27.604,,5513774462030061924883,K13,98.354,44.271
HPL-00151_Tissue_225234_M13.CEL,HPL-00151_Tissue,,Tissue,Fail,1,90.605,,28.405,,5513774462030061924883,M13,98.354,44.271
HPL-00152_Tissue_225234_O13.CEL,HPL-00152_Tissue,,Tissue,Pass,0.87736,97.815,98.174,18.966,18.912,5513774462030061924883,O13,98.354,44.271
HPL-00153_Tissue_225234_A15.CEL,HPL-00153_Tissue,,Tissue,Fail,0.99057,91.1,,26.162,,5513774462030061924883,A15,98.354,44.271
HPL-00154_Tissue_225234_C15.CEL,HPL-00154_Tissue,,Tissue,Fail,0.99292,91.056,,26.264,,5513774462030061924883,C15,98.354,44.271
HPL-00155_Tissue_225234_E15.CEL,HPL-00155_Tissue,,Tissue,Fail,0.99292,89.964,,25.564,,5513774462030061924883,E15,98.354,44.271
HPL-00156_Tissue_225234_G15.CEL,HPL-00156_Tissue,,Tissue,Fail,1,90.255,,26.293,,5513774462030061924883,G15,98.354,44.271
HPL-00157_Tissue_225234_I15.CEL,HPL-00157_Tissue,,Tissue,Fail,0.99292,91.493,,28.026,,5513774462030061924883,I15,98.354,44.271
HPL-00158_Tissue_225234_K15.CEL,HPL-00158_Tissue,,Tissue,Fail,0.99764,90.24,,26.497,,5513774462030061924883,K15,98.354,44.271
HPL-00159_Tissue_225234_M15.CEL,HPL-00159_Tissue,,Tissue,Fail,1,92.323,,27.502,,5513774462030061924883,M15,98.354,44.271
HPL-00160_Tissue_225234_O15.CEL,HPL-00160_Tissue,,Tissue,Fail,0.91981,96.446,,18.922,,5513774462030061924883,O15,98.354,44.271
HPL-00161_Tissue_225234_A17.CEL,HPL-00161_Tissue,,Tissue,Fail,0.99292,91.537,,27.502,,5513774462030061924883,A17,98.354,44.271
HPL-00162_Tissue_225234_C17.CEL,HPL-00162_Tissue,,Tissue,Fail,0.99764,91.974,,23.219,,5513774462030061924883,C17,98.354,44.271
HPL-00163_Tissue_225234_E17.CEL,HPL-00163_Tissue,,Tissue,Fail,0.99528,90.168,,26.773,,5513774462030061924883,E17,98.354,44.271
HPL-00164_Tissue_225234_G17.CEL,HPL-00164_Tissue,,Tissue,Fail,0.97642,95.513,,20.408,,5513774462030061924883,G17,98.354,44.271
HPL-00165_Tissue_225234_I17.CEL,HPL-00165_Tissue,,Tissue,Fail,1,92.032,,27.779,,5513774462030061924883,I17,98.354,44.271
HPL-00166_Tissue_225234_K17.CEL,HPL-00166_Tissue,,Tissue,Fail,1,91.245,,27.793,,5513774462030061924883,K17,98.354,44.271
HPL-00167_Tissue_225234_M17.CEL,HPL-00167_Tissue,,Tissue,Fail,0.99528,90.284,,28.347,,5513774462030061924883,M17,98.354,44.271
HPL-00168_Tissue_225234_O17.CEL,HPL-00168_Tissue,,Tissue,Fail,1,91.391,,27.72,,5513774462030061924883,O17,98.354,44.271
HPL-00169_Tissue_225234_A19.CEL,HPL-00169_Tissue,,Tissue,Pass,0.82311,97.189,97.646,18.66,19.029,5513774462030061924883,A19,98.354,44.271
HPL-00170_Tissue_225234_C19.CEL,HPL-00170_Tissue,,Tissue,Pass,0.89151,97.203,97.334,19.082,19.154,5513774462030061924883,C19,98.354,44.271
HPL-00171_Tissue_225234_E19.CEL,HPL-00171_Tissue,,Tissue,Fail,1,91.624,,26.846,,5513774462030061924883,E19,98.354,44.271
HPL-00172_Tissue_225234_G19.CEL,HPL-00172_Tissue,,Tissue,Fail,0.99764,90.444,,25.798,,5513774462030061924883,G19,98.354,44.271
HPL-00173_Tissue_225234_I19.CEL,HPL-00173_Tissue,,Tissue,Fail,1,91.566,,27.502,,5513774462030061924883,I19,98.354,44.271
HPL-00174_Tissue_225234_K19.CEL,HPL-00174_Tissue,,Tissue,Fail,1,91.814,,27.56,,5513774462030061924883,K19,98.354,44.271
HPL-00175_Tissue_225234_M19.CEL,HPL-00175_Tissue,,Tissue,Fail,1,91.61,,27.152,,5513774462030061924883,M19,98.354,44.271
